track.name,Song_title.x,Artist,Genre,file_name,song_id,danceability,energy,key,key_name,loudness,mode,mode_name,speechiness,acousticness,instrumentalness,liveness,valence,valence_1000songs,std_valence_1000songs,arousal_1000songs,std_arousal_1000songs,tempo,track.id,track.preview_url,track.uri
Nothing Much,Nothing Much,My Bubba & Mi,Blues,5.mp3,5,0.488,0.251,11,B,-12.351,1,major,0.0273,0.827,2.11e-5,0.242,0.575,5.3,1.9465,4.4,2.1187,99.639,32xfcxu2gKRVmDopzlmnUc,https://p.scdn.co/mp3-preview/458833269a9a9684b84930c951c0c557c3df146f?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:32xfcxu2gKRVmDopzlmnUc
Oh Kiss No,Oh Kiss No,My Bubba & Mi,Blues,13.mp3,13,0.639,0.209,0,C,-12.915,0,minor,0.0332,0.785,3.68e-6,0.373,0.211,4,1.7638,3.2,1.4757,87.412,1ocORq8GJBUAIJdi8QPgme,https://p.scdn.co/mp3-preview/13d93d5ee4c1e88e6d59d420a08962176ac97639?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1ocORq8GJBUAIJdi8QPgme
Vultures,Vultures,WHO'S PANDA,Blues,19.mp3,19,0.56,0.856,8,G#,-6.028,1,major,0.0511,0.0477,9.38e-6,0.0785,0.394,4.3,2.0028,5.9,1.7288,125.024,2bhwPUsgts9pmZIbMvlHZV,https://p.scdn.co/mp3-preview/ce65479e9db41aaa581691d3471eca3f56f160c6?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2bhwPUsgts9pmZIbMvlHZV
Afro,Afro,The Jon Spencer Blues Explosion,Blues,37.mp3,37,0.599,0.847,6,F#,-5.818,0,minor,0.0477,0.00304,0.809,0.0704,0.916,5.3,2.1108,6.6,2.2211,124.528,1X5DB8JnEDPiPskaxLIbfk,https://p.scdn.co/mp3-preview/6f8c5b0403823e368a6e98fe2a20bce1061ca047?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1X5DB8JnEDPiPskaxLIbfk
Ramblin' Rose,Ramblin' Rose,Barrence Whitfield and The Savages,Blues,39.mp3,39,0.34,0.798,4,E,-10.599,1,major,0.0722,0.0606,0.00131,0.967,0.745,5.4,2.5033,7.3,1.9465,134.828,63HsldLyUvbyaUkv8DcEaQ,https://p.scdn.co/mp3-preview/43d80663664f253a67b2aec42ffd60eacb4d7cfe?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:63HsldLyUvbyaUkv8DcEaQ
Broken,Broken,Fit and the Conniptions,Blues,54.mp3,54,0.491,0.142,0,C,-13.427,1,major,0.0387,0.127,0.0264,0.103,0.136,3.3,1.7029,3.1,1.6633,134.277,16tz1QwDkta2kNWQFrpNxh,https://p.scdn.co/mp3-preview/22e19517ae64e6ffa18f6f07cd7cfbf908accef6?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:16tz1QwDkta2kNWQFrpNxh
Baby Please Don't Go,Baby Please Don't Go,Big Bill Broonzy,Blues,55.mp3,55,0.702,0.118,7,G,-17.211,1,major,0.043,0.946,0.00134,0.122,0.595,5.4,1.1738,5.8,1.3984,138.574,09OgC4U04x6DhzqEr9AdRy,https://p.scdn.co/mp3-preview/783960f17eda87581f75133400a13865e0faa885?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:09OgC4U04x6DhzqEr9AdRy
Fafa,Fafa,Vieux Farka Touré,Blues,56.mp3,56,0.435,0.606,10,A#,-5.614,1,major,0.0342,0.724,0.277,0.18,0.374,5.8,1.4757,6.4,1.5055,92.749,67raFTzuOzVFZyEYxbiMxL,https://p.scdn.co/mp3-preview/c032485fe999389aada2365d86d77f5d5a0064d1?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:67raFTzuOzVFZyEYxbiMxL
Nothing's Any Fun Any More,Nothing's Any Fun Any More,Fit and the Conniptions,Blues,58.mp3,58,0.533,0.275,11,B,-10.253,1,major,0.0435,0.0538,0.92,0.263,0.224,3.4,1.6465,3.3,1.6364,159.904,2cLDzWMrkDtzdyk8zD3n9B,https://p.scdn.co/mp3-preview/33d3baf339141e0f9f23907e194e39010ec53ffa?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2cLDzWMrkDtzdyk8zD3n9B
Bellbottoms,Bellbottoms,The Jon Spencer Blues Explosion,Blues,65.mp3,65,0.391,0.883,2,D,-4.467,1,major,0.216,0.0101,0.1,0.352,0.476,5.8,1.9322,6.4,1.5055,116.968,7sC9FifCXZHgjTAjFO1ykA,NA,spotify:track:7sC9FifCXZHgjTAjFO1ykA
