track.name,Song_title,danceability,energy,key,key_name,loudness,mode,mode_name,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,track.preview_url,track.uri
Nothing Much,Nothing Much,0.488,0.251,11,B,-12.351,1,major,0.0273,0.827,2.11e-5,0.242,0.575,99.639,32xfcxu2gKRVmDopzlmnUc,https://p.scdn.co/mp3-preview/458833269a9a9684b84930c951c0c557c3df146f?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:32xfcxu2gKRVmDopzlmnUc
Oh Kiss No,Oh Kiss No,0.639,0.209,0,C,-12.915,0,minor,0.0332,0.785,3.68e-6,0.373,0.211,87.412,1ocORq8GJBUAIJdi8QPgme,https://p.scdn.co/mp3-preview/13d93d5ee4c1e88e6d59d420a08962176ac97639?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1ocORq8GJBUAIJdi8QPgme
Beat the Devil's Tattoo,Beat the Devil's Tattoo,0.521,0.921,4,E,-2.744,1,major,0.0382,0.42,0.0207,0.175,0.707,96.51,2iPTESocncak2Q45oXzKOG,https://p.scdn.co/mp3-preview/617e3958219b8c6058f2358c23833ac990210f88?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2iPTESocncak2Q45oXzKOG
Vultures,Vultures,0.56,0.856,8,G#,-6.028,1,major,0.0511,0.0477,9.38e-6,0.0785,0.394,125.024,2bhwPUsgts9pmZIbMvlHZV,https://p.scdn.co/mp3-preview/ce65479e9db41aaa581691d3471eca3f56f160c6?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2bhwPUsgts9pmZIbMvlHZV
All Is Right,All Is Right,0.563,0.488,9,A,-10.37,1,major,0.0468,0.0366,0.0692,0.454,0.365,80.734,4xIlIbQDXw9BXVFcBdPrvW,https://p.scdn.co/mp3-preview/59e32269c5e12da09b4a74dfb1f2099a8a9ec8b5?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:4xIlIbQDXw9BXVFcBdPrvW
Afro,Afro,0.599,0.847,6,F#,-5.818,0,minor,0.0477,0.00304,0.809,0.0704,0.916,124.528,1X5DB8JnEDPiPskaxLIbfk,https://p.scdn.co/mp3-preview/6f8c5b0403823e368a6e98fe2a20bce1061ca047?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1X5DB8JnEDPiPskaxLIbfk
Ramblin' Rose,Ramblin' Rose,0.34,0.798,4,E,-10.599,1,major,0.0722,0.0606,0.00131,0.967,0.745,134.828,63HsldLyUvbyaUkv8DcEaQ,https://p.scdn.co/mp3-preview/43d80663664f253a67b2aec42ffd60eacb4d7cfe?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:63HsldLyUvbyaUkv8DcEaQ
You and Me Baby (Holding On),You and Me Baby (Holding On),0.469,0.45,7,G,-7.585,1,major,0.0271,0.194,1.47e-6,0.223,0.195,134.642,02OrsuIivnmlXtE42V0w6g,https://p.scdn.co/mp3-preview/fe200b690761673d8d570d4f3b65445885a81120?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:02OrsuIivnmlXtE42V0w6g
Broken,Broken,0.491,0.142,0,C,-13.427,1,major,0.0387,0.127,0.0264,0.103,0.136,134.277,16tz1QwDkta2kNWQFrpNxh,https://p.scdn.co/mp3-preview/22e19517ae64e6ffa18f6f07cd7cfbf908accef6?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:16tz1QwDkta2kNWQFrpNxh
Baby Please Don't Go,Baby Please Don't Go,0.702,0.118,7,G,-17.211,1,major,0.043,0.946,0.00134,0.122,0.595,138.574,09OgC4U04x6DhzqEr9AdRy,https://p.scdn.co/mp3-preview/783960f17eda87581f75133400a13865e0faa885?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:09OgC4U04x6DhzqEr9AdRy
